TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W),Codec
6.37574E+13,24.8,3.8,6,0,15,0,HEVC
6.37574E+13,25.5,4.5,6,0,15,0.1,HEVC
6.37574E+13,29.4,8.4,6,0.1,15,1,HEVC
6.37574E+13,33.6,12.6,6,0,15,0,HEVC
6.37574E+13,30.8,9.8,6,0,15,0,HEVC
6.37574E+13,30.1,9.1,6,0,15,0,HEVC
6.37574E+13,28,6.9,6,0,15,0,HEVC
6.37574E+13,24.9,3.9,6,0,15,0,HEVC
6.37574E+13,25.4,4.4,6,0,15,0,HEVC
6.37574E+13,25.3,4.3,6,0,15,0,HEVC
6.37574E+13,24.9,3.9,6,0,15,0,HEVC
6.37574E+13,25.6,4.6,6,0,15,0.2,HEVC
6.37574E+13,25.1,4.1,6,0,15,0.1,HEVC
6.37574E+13,25.3,4.3,6,0,15,0.2,HEVC
6.37574E+13,25.1,4.1,6,0,15,0,HEVC
6.37574E+13,25.4,4.4,6,0,15,0,HEVC
6.37574E+13,24.7,3.7,6,0,15,0,HEVC
6.37574E+13,24.8,3.8,6,0,15,0,HEVC
6.37574E+13,25.2,4.2,6,0,15,0.2,HEVC
6.37574E+13,25.5,4.5,6,0,15,0,HEVC
6.37574E+13,24.9,3.9,6,0,15,0.2,HEVC
6.37574E+13,25.3,4.3,6,0,15,0.4,HEVC
6.37574E+13,24.9,3.9,6,0,15,0,HEVC
6.37574E+13,25.1,4.1,6,0,15,0,HEVC
6.37574E+13,25.8,4.8,6,0,15,0.1,HEVC
6.37574E+13,25.2,4.2,6,0,15,0.2,HEVC
6.37574E+13,23.8,2.8,6,0,15,0.1,HEVC
6.37574E+13,21.6,0.6,6,0,15,0.1,HEVC
6.37574E+13,21.6,0.5,6,0,15,0.3,HEVC
6.37574E+13,21.8,0.8,6,0,15,0,HEVC
6.37574E+13,22,1,6,0,15,0,HEVC
6.37574E+13,21.5,0.5,6,0,15,0.1,HEVC
6.37574E+13,21.7,0.7,6,0,15,0,HEVC
6.37574E+13,21.6,0.6,6,0,15,0.1,HEVC
6.37574E+13,21.8,0.8,6,0,15,0.1,HEVC
6.37574E+13,22,1,6,0,15,0.3,HEVC
6.37574E+13,22.2,1.2,6,0,15,0.1,HEVC
6.37574E+13,21.8,0.8,6,0,15,0,HEVC
6.37574E+13,21.4,0.4,6,0,15,0,HEVC
6.37574E+13,21.9,0.9,6,0,15,0,HEVC
6.37574E+13,21.6,0.6,6,0,15,0,HEVC
6.37574E+13,21.2,0.2,6,0,15,0,HEVC
6.37574E+13,21.7,0.7,6,0,15,0,HEVC
6.37574E+13,21.6,0.6,6,0,15,0,HEVC
6.37574E+13,21.5,0.5,6,0,15,0.1,HEVC
6.37574E+13,21.7,0.7,6,0,15,0.1,HEVC
6.37574E+13,21.4,0.4,6,0,15,0,HEVC
6.37574E+13,22,0.9,6,0,15,0.1,HEVC
6.37574E+13,21.8,0.8,6,0,15,0,HEVC
6.37574E+13,21.6,0.6,6,0,15,0,HEVC
6.37574E+13,21.6,0.6,6,0,15,0,HEVC
6.37574E+13,21.7,0.7,6,0,15,0,HEVC
6.37574E+13,21.7,0.7,6,0,15,0,HEVC
6.37574E+13,21.7,0.7,6,0,15,0.1,HEVC
