TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W),Codec
6.37574E+13,21.4,0.4,6,0,15,0,HEVC
6.37574E+13,22.4,1.3,6,0,15,0.1,HEVC
6.37574E+13,25.4,4.3,6,0.1,15,1,HEVC
6.37574E+13,31.5,10.5,6,0,15,0.3,HEVC
6.37574E+13,27.6,6.6,6,0,15,0.3,HEVC
6.37574E+13,34.3,13.3,6,0,15,0.4,HEVC
6.37574E+13,30.1,9.1,6,0,15,0.5,HEVC
6.37574E+13,23.4,2.4,6,0,15,0.5,HEVC
6.37574E+13,22.5,1.5,6,0,15,0.5,HEVC
6.37574E+13,22.4,1.4,6,0,15,0.5,HEVC
6.37574E+13,22.3,1.3,6,0,15,0.5,HEVC
6.37574E+13,22.1,1.1,6,0,15,0.6,HEVC
6.37574E+13,22.5,1.5,6,0,15,0.5,HEVC
6.37574E+13,22.4,1.4,6,0,15,0.5,HEVC
6.37574E+13,22.5,1.5,6,0,15,0.6,HEVC
6.37574E+13,23.5,2.5,6,0,15,0.8,HEVC
6.37574E+13,22.4,1.4,6,0,15,0.6,HEVC
6.37574E+13,22.7,1.7,6,0,15,0.6,HEVC
6.37574E+13,22.1,1.1,6,0,15,0.5,HEVC
6.37574E+13,22.4,1.4,6,0,15,0.4,HEVC
6.37574E+13,22,1,6,0,15,0.5,HEVC
6.37574E+13,23,2,6,0,15,0.6,HEVC
6.37574E+13,23,2,6,0,15,0.5,HEVC
6.37574E+13,22,1,6,0,15,0.5,HEVC
6.37574E+13,23.3,2.3,6,0,15,1.1,HEVC
6.37574E+13,22.9,1.9,6,0,15,0.6,HEVC
6.37574E+13,22.3,1.3,6,0,15,0.4,HEVC
6.37574E+13,22.4,1.4,6,0,15,0.3,HEVC
6.37574E+13,22.4,1.4,6,0,15,0.4,HEVC
6.37574E+13,22.6,1.6,6,0,15,0.5,HEVC
6.37574E+13,23,2,6,0,15,0.3,HEVC
6.37574E+13,23.8,2.7,6,0.1,15,0.3,HEVC
6.37574E+13,23.5,2.4,6,0.1,15,0.3,HEVC
6.37574E+13,24.9,3.7,6,0.2,15,0.7,HEVC
6.37574E+13,25.4,4,6,0.5,15,0.4,HEVC
6.37574E+13,25.5,4.1,6,0.4,15,0.6,HEVC
6.37574E+13,24.9,3.7,6,0.2,15,0.5,HEVC
6.37574E+13,24,2.8,6,0.2,15,0.4,HEVC
6.37574E+13,23.5,2.4,6,0.1,15,0.4,HEVC
6.37574E+13,24.9,3.6,6,0.3,15,0.5,HEVC
6.37574E+13,28.7,7.2,6,0.5,15,0.6,HEVC
6.37574E+13,29,7.4,6,0.7,15,0.3,HEVC
6.37574E+13,24.5,3.4,6,0.1,15,0.5,HEVC
6.37574E+13,24.4,3.1,6,0.3,15,0.5,HEVC
6.37574E+13,29.2,7.5,6,0.6,15,0.4,HEVC
6.37574E+13,30,8.4,6,0.6,15,0.7,HEVC
6.37574E+13,26.6,5.5,6,0.2,15,0.7,HEVC
6.37574E+13,26.7,5.7,6,0.1,15,0.6,HEVC
6.37574E+13,23.1,2,6,0.1,15,0.5,HEVC
6.37574E+13,22.8,1.7,6,0.1,15,0.4,HEVC
6.37574E+13,22.9,1.8,6,0.1,15,0.4,HEVC
6.37574E+13,23.7,2.6,6,0.1,15,0.6,HEVC
6.37574E+13,23.5,2.4,6,0.1,15,0.6,HEVC
6.37574E+13,21.9,0.8,6,0,15,0.5,HEVC
6.37574E+13,22,1,6,0,15,0.5,HEVC
6.37574E+13,21.7,0.7,6,0,15,0.5,HEVC
6.37574E+13,22.5,1.5,6,0,15,0.4,HEVC
6.37574E+13,21.7,0.7,6,0,15,0.5,HEVC
6.37574E+13,30,7.9,6,1.1,15,0.4,HEVC
6.37574E+13,25.7,4.7,6,0.1,15,0.5,HEVC
6.37574E+13,29,4.9,6,3.1,15,0.5,HEVC
6.37574E+13,25.9,4.5,6,0.4,15,0.6,HEVC
6.37574E+13,34.1,5.5,6,7.6,15,0.5,HEVC
6.37574E+13,26.7,4.1,6,1.6,15,0.4,HEVC
6.37574E+13,30.7,4.8,6,4.9,15,0.6,HEVC
6.37574E+13,28.8,4.9,6,3,15,0.7,HEVC
6.37574E+13,25.9,4.7,6,0.2,15,0.6,HEVC
6.37574E+13,25.3,4.3,6,0,15,0.5,HEVC
6.37574E+13,26.2,5,6,0.2,15,0.6,HEVC
6.37574E+13,25.4,4.2,6,0.1,15,0.5,HEVC
6.37574E+13,25.6,4.5,6,0.1,15,0.5,HEVC
6.37574E+13,25.9,4.9,6,0,15,0.5,HEVC
6.37574E+13,26.5,4.7,6,0.8,15,0.5,HEVC
6.37574E+13,27.8,4.3,6,2.5,15,0.3,HEVC
6.37574E+13,27.8,4.8,6,2,15,0.5,HEVC
6.37574E+13,28.7,4.4,6,3.4,15,0.4,HEVC
6.37574E+13,27.9,4.6,6,2.3,15,0.5,HEVC
6.37574E+13,30.1,4.9,6,4.2,15,0.4,HEVC
6.37574E+13,26.7,4.6,6,1.1,15,0.5,HEVC
6.37574E+13,28.1,4.2,6,2.9,15,0.3,HEVC
6.37574E+13,25.5,4.5,6,0,15,0.4,HEVC
6.37574E+13,27.9,4.5,6,2.4,15,0.5,HEVC
6.37574E+13,27.8,5,6,1.8,15,0.6,HEVC
6.37574E+13,27.5,5.8,6,0.7,15,0.5,HEVC
6.37574E+13,25.9,4.9,6,0,15,0.5,HEVC
6.37574E+13,25.3,4.3,6,0,15,0.8,HEVC
6.37574E+13,26.6,5,6,0.6,15,0.5,HEVC
6.37574E+13,25.5,4.5,6,0,15,0.3,HEVC
6.37574E+13,25.8,4.8,6,0,15,0.6,HEVC
6.37574E+13,25.9,4.9,6,0.1,15,0.3,HEVC
6.37574E+13,26,5,6,0.1,15,0.5,HEVC
6.37574E+13,26.3,5.3,6,0,15,0.5,HEVC
6.37574E+13,25.8,4.7,6,0,15,0.6,HEVC
6.37574E+13,25.6,4.6,6,0,15,0.4,HEVC
6.37574E+13,25.7,4.7,6,0,15,0.6,HEVC
6.37574E+13,25.9,4.9,6,0,15,0.7,HEVC
6.37574E+13,26.6,5.6,6,0,15,0.5,HEVC
6.37574E+13,26,4.9,6,0,15,0.5,HEVC
6.37574E+13,26,5,6,0,15,0.4,HEVC
6.37574E+13,25.7,4.6,6,0,15,0.3,HEVC
6.37574E+13,27.3,5.3,6,1,15,0.5,HEVC
6.37574E+13,27.1,6.1,6,0.1,15,0.6,HEVC
6.37574E+13,26.6,5.6,6,0,15,0.5,HEVC
6.37574E+13,26,4.9,6,0.1,15,0.6,HEVC
6.37574E+13,26.3,5.2,6,0.1,15,0.5,HEVC
6.37574E+13,26,4.9,6,0.1,15,0.4,HEVC
6.37574E+13,27,5.4,6,0.6,15,0.6,HEVC
6.37574E+13,26.4,5.4,6,0,15,0.6,HEVC
6.37574E+13,25.5,4.4,6,0,15,0.5,HEVC
6.37574E+13,25.7,4.7,6,0,15,0.6,HEVC
6.37574E+13,25.6,4.6,6,0,15,0.4,HEVC
6.37574E+13,25.7,4.7,6,0,15,0.4,HEVC
6.37574E+13,27.1,5.8,6,0.3,15,0.4,HEVC
6.37574E+13,25.4,4.4,6,0,15,0.3,HEVC
6.37574E+13,25.7,4.5,6,0.2,15,0.6,HEVC
6.37574E+13,25.2,4.1,6,0,15,0.4,HEVC
6.37574E+13,26.4,5.2,6,0.1,15,0.6,HEVC
6.37574E+13,26,5,6,0,15,0.6,HEVC
6.37574E+13,25.6,4.6,6,0,15,0.5,HEVC
6.37574E+13,25.4,4.3,6,0,15,0.8,HEVC
6.37574E+13,25.3,4.3,6,0,15,0.4,HEVC
6.37574E+13,25.8,4.8,6,0,15,0.5,HEVC
6.37574E+13,25.7,4.7,6,0,15,0.5,HEVC
6.37574E+13,25.7,4.7,6,0,15,0.6,HEVC
6.37574E+13,25.5,4.5,6,0,15,0.5,HEVC
6.37574E+13,25.1,4.1,6,0,15,0.5,HEVC
6.37574E+13,25.7,4.7,6,0,15,0.6,HEVC
6.37574E+13,26.2,5.1,6,0.1,15,0.6,HEVC
6.37574E+13,25.2,4.1,6,0,15,0.3,HEVC
6.37574E+13,25.6,4.6,6,0,15,0.6,HEVC
6.37574E+13,26,5,6,0,15,0.3,HEVC
6.37574E+13,25.2,4.2,6,0,15,0.4,HEVC
6.37574E+13,25.3,4.3,6,0,15,0.5,HEVC
6.37574E+13,25.3,4.3,6,0,15,0.6,HEVC
6.37574E+13,26,5,6,0,15,0.6,HEVC
6.37574E+13,25.4,4.4,6,0,15,0.3,HEVC
6.37574E+13,25.8,4.8,6,0,15,0.5,HEVC
6.37574E+13,25.7,4.7,6,0,15,0.6,HEVC
6.37574E+13,25.5,4.5,6,0,15,0.4,HEVC
6.37574E+13,25.6,4.6,6,0,15,0.4,HEVC
6.37574E+13,25.6,4.6,6,0,15,0.4,HEVC
6.37574E+13,25.4,4.4,6,0,15,0.5,HEVC
6.37574E+13,25.3,4.3,6,0,15,0.5,HEVC
6.37574E+13,25.4,4.4,6,0,15,0,HEVC
6.37574E+13,25.3,4.3,6,0.1,15,0,HEVC
6.37574E+13,25.5,4.4,6,0,15,0,HEVC
