TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W),Codec
6.37573E+13,26.2,5.2,6,0.1,15,4.8,AV1
6.37573E+13,26.8,5.8,6,0,15,5,AV1
6.37573E+13,27.9,6.9,6,0,15,6.1,AV1
6.37573E+13,26.2,5.1,6,0.1,15,4.1,AV1
6.37573E+13,27.6,6.6,6,0,15,6.3,AV1
6.37573E+13,25.5,4.4,6,0,15,4.1,AV1
6.37573E+13,29.1,8.1,6,0,15,6.3,AV1
6.37573E+13,28.2,7.1,6,0.1,15,6.1,AV1
6.37573E+13,23.7,2.6,6,0,15,2.1,AV1
6.37573E+13,25.6,4.6,6,0,15,3.7,AV1
6.37573E+13,24.6,3.6,6,0,15,3.1,AV1
6.37573E+13,25.7,4.6,6,0.1,15,4,AV1
6.37573E+13,24.4,3.3,6,0,15,2.1,AV1
6.37573E+13,24.9,3.9,6,0,15,3.3,AV1
6.37573E+13,24.6,3.5,6,0,15,2.9,AV1
6.37573E+13,26.6,5.6,6,0,15,5,AV1
6.37573E+13,24,3,6,0,15,2.8,AV1
6.37573E+13,28.1,7.1,6,0,15,6,AV1
6.37573E+13,25.8,4.8,6,0,15,4.4,AV1
6.37573E+13,25.3,4.2,6,0,15,3.9,AV1
6.37573E+13,26.9,5.9,6,0,15,4.8,AV1
6.37573E+13,24.9,3.9,6,0.1,15,3,AV1
6.37573E+13,26.1,5.1,6,0,15,4.3,AV1
6.37573E+13,23.7,2.7,6,0,15,2.3,AV1
6.37573E+13,26.2,5.2,6,0,15,4.3,AV1
6.37573E+13,24.1,3.1,6,0.1,15,2.6,AV1
6.37573E+13,25.1,4,6,0.1,15,3.8,AV1
6.37573E+13,24.6,3.6,6,0,15,2.6,AV1
6.37573E+13,26.1,5.1,6,0,15,4.7,AV1
6.37573E+13,29.6,8.6,6,0.1,15,7.7,AV1
6.37573E+13,28.2,7.2,6,0,15,6.8,AV1
6.37573E+13,30.2,9.2,6,0.1,15,7.7,AV1
6.37573E+13,28.7,7.5,6,0.1,15,7.1,AV1
6.37573E+13,29.5,8.5,6,0,15,7.9,AV1
6.37573E+13,28.4,7.4,6,0,15,7.2,AV1
6.37573E+13,28.7,7.7,6,0,15,6.6,AV1
6.37573E+13,28.4,7.4,6,0,15,6.2,AV1
6.37573E+13,26,5,6,0,15,4.1,AV1
6.37573E+13,21.9,0.9,6,0,15,0,AV1
6.37573E+13,21.7,0.7,6,0,15,0,AV1
6.37573E+13,21.8,0.8,6,0,15,0,AV1
6.37573E+13,21.9,0.9,6,0,15,0,AV1
6.37573E+13,22.4,1.4,6,0,15,0,AV1
6.37573E+13,21.5,0.5,6,0,15,0,AV1
