TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W),Codec
6.37573E+13,22.4,1.4,6,0,15,0.1,AV1
6.37573E+13,23.3,2.3,6,0,15,0.4,AV1
6.37573E+13,31.9,10.8,6,0.1,15,4.8,AV1
6.37573E+13,25.5,4.4,6,0,15,3.4,AV1
6.37573E+13,25.1,4.1,6,0,15,3.7,AV1
6.37573E+13,27,6,6,0,15,5.1,AV1
6.37573E+13,25.1,4.1,6,0,15,3.8,AV1
6.37573E+13,27.7,6.7,6,0,15,5.8,AV1
6.37573E+13,25.8,4.8,6,0,15,4.1,AV1
6.37573E+13,27.2,6.2,6,0,15,6,AV1
6.37573E+13,27.8,6.8,6,0,15,5.9,AV1
6.37573E+13,25.1,4.1,6,0,15,3.6,AV1
6.37573E+13,27.5,6.5,6,0,15,5.1,AV1
6.37573E+13,25.5,4.5,6,0,15,3.8,AV1
6.37573E+13,26.2,5.2,6,0,15,4.7,AV1
6.37573E+13,26.3,5.3,6,0,15,4.6,AV1
6.37573E+13,26.7,5.7,6,0,15,4.6,AV1
6.37573E+13,26.8,5.8,6,0,15,4.4,AV1
6.37573E+13,28.1,7.1,6,0,15,6.7,AV1
6.37573E+13,28.8,7.8,6,0,15,6.8,AV1
6.37573E+13,28.6,7.6,6,0,15,7.3,AV1
6.37573E+13,28,7,6,0,15,6.5,AV1
6.37573E+13,30.9,9.9,6,0,15,8.3,AV1
6.37573E+13,28.9,7.9,6,0,15,6.9,AV1
6.37573E+13,29.4,8.4,6,0,15,8.1,AV1
6.37573E+13,28.9,7.9,6,0,15,7.1,AV1
6.37573E+13,28.8,7.8,6,0,15,7.1,AV1
6.37573E+13,26.3,5.2,6,0.1,15,4.6,AV1
6.37573E+13,24.6,3.6,6,0,15,3.1,AV1
6.37573E+13,26.1,5.1,6,0,15,4.3,AV1
6.37573E+13,24.6,3.6,6,0,15,2.8,AV1
6.37573E+13,26.7,5.7,6,0,15,4.3,AV1
6.37573E+13,25.2,4.2,6,0,15,3.4,AV1
6.37573E+13,25.7,4.7,6,0,15,4.1,AV1
6.37573E+13,25.5,4.5,6,0,15,3.9,AV1
6.37573E+13,26.9,5.9,6,0,15,5.4,AV1
6.37573E+13,24.2,3.2,6,0,15,2.6,AV1
6.37573E+13,26.2,5.1,6,0.1,15,4.1,AV1
6.37573E+13,24.6,3.6,6,0,15,3,AV1
6.37573E+13,24.9,3.9,6,0,15,3.3,AV1
6.37573E+13,24.9,3.9,6,0,15,3,AV1
6.37573E+13,25.2,4.1,6,0.1,15,3.3,AV1
6.37573E+13,24.6,3.6,6,0,15,3.2,AV1
6.37573E+13,25.3,4.3,6,0,15,3.6,AV1
6.37573E+13,26.7,5.7,6,0,15,5.4,AV1
6.37573E+13,25.4,4.4,6,0,15,3.8,AV1
6.37573E+13,28.2,7.2,6,0,15,5.4,AV1
6.37573E+13,26,5,6,0,15,4.1,AV1
6.37573E+13,26.8,5.8,6,0,15,5.2,AV1
6.37573E+13,25.6,4.5,6,0,15,3.8,AV1
6.37573E+13,27,6,6,0,15,5.4,AV1
6.37573E+13,28.1,7.1,6,0,15,5.7,AV1
